1110|110|"vt7_Loviisa_Markkinamäki_Opt1"
1111|111|"vt7_Loviisa_Markkinamäki_Opt2"
1112|112|"st103_Helsinki_Satamatie_etelä_O"
1113|113|"st103_Hki_Vuosaaren_tunneli_O"
1114|114|"st103_Helsinki_Satamatie_pohj_O"
1115|115|"vt7_Helsinki_Itäsalmi_1"
1116|116|"vt7_Sipoo_Box_1"
1117|841|"st148_Sipoo_B"
1118|881|"vt7_Sipoonlahti_2"
1119|861|"vt7_Sipoonlahti_Opt2"
1120|882|"vt7_Helsinki_Itäsalmi_2"
1121|883|"vt7_Porvoo_Ernestas_Opt1"
1122|862|"vt7_Helsinki_Itäsalmi_Opt1"
1123|863|"vt7_Helsinki_Itäsalmi_Opt2"
1124|864|"vt7_Sipoo_Box_2"
1125|884|"vt7_Sipoo_Box_Opt1"
1126|865|"vt7_Sipoo_Box_Opt2"
1127|1004|"vt4_Mäntsälä_Ohkola_Opt2"
1128|985|"kt45_Vantaa_Ilola_Opt"
1129|1005|"vt3_Vantaa_Keimola_Opt2"
1130|1006|"kt51_Espoo_Karhusaari_Opt1"
1131|1081|"vt7_Porvoo_Ernestas_2"
1132|1082|"vt7_Porvoo_Ernestas_Opt2"
1133|1101|"kt51_Espoo_Kivenlahti_2"
1134|1102|"kt51_Espoo_Kivenlahti_Opt2"
1135|1121|"vt4_Kerava_Kytömaa_2"
1136|1162|"st148_Sipoo_B2"
1137|1183|"vt3_Helsinki_Pirkkola_Opt2"
1138|1263|"vt25_Lohja_Virkkala_Opt2"
1139|1303|"kt51_Hki_Lapinlahti_Opt1"
1140|1304|"kt51_Hki_Lapinlahti_Opt2"
1141|1323|"kt50_Vantaa_Askisto_Opt2"
1142|1463|"st167_Myrskylä_Hallila_Opt"
1143|1583|"kt55_Askola_Monninkylä_Opt"
1144|1584|"vt2_Karkkila_Korpi_Opt"
1145|1566|"kt45_Tuusula_Terrisuo_Opt"
1146|1567|"kt51_Inkoo_Innanbäck_Opt"
1147|1703|"vt3_Nurmijärvi_Karhunkorpi_Opt1"
1148|1803|"vt1_Espoo_Kolmiranta_Opt21"
1149|1823|"vt1_Lohja_Lehmijärvi_Opt21"
1150|1824|"vt6_Lapinjärvi_Opt2"
1151|1883|"vt3_Nurmijärvi_Karhunkorpi_2"
1152|1903|"vt3_Nurmijärvi_Karhunkorpi_Opt2"
1153|2086|"vt1_Espoo_Nupuri_2"
1154|2087|"vt1_Espoo_Nupuri_Opt11"
1155|2066|"vt1_Espoo_Nupuri_Opt12"
1156|2088|"vt1_Espoo_Nupuri_Opt22"
1157|2089|"vt1_Espoo_Kolmiranta_Opt11"
1158|2090|"vt1_Espoo_Kolmiranta_Opt12"
1159|2091|"vt1_Espoo_Kolmiranta_Opt22"
1160|2092|"vt1_Vihti_Palojärvi_Opt11"
1161|2093|"vt1_Vihti_Palojärvi_Opt12"
1162|2094|"vt1_Vihti_Palojärvi_Opt22"
1163|2067|"vt1_Lohja_Lehmijärvi_Opt12"
1164|2068|"vt1_Lohja_Lehmijärvi_Opt22"
1901|117|"OLD_kt50_Luminanssiasema"
2001|118|"OLD_vt1_Kurjenmäki"
2002|119|"vt8_Pyhäranta_Ihode_1"
2003|120|"vt8_Eurajoki_Pinkjärvi_1"
2004|121|"st110_Salo_Tupuri_R"
2005|122|"OLD_vt1_Hintanmäki"
2006|123|"vt2_Kokemäki_Seppälänahde_R"
2007|124|"vt3_Ikaalinen_Teikangas_R"
2008|125|"vt8_Mynämäki_Motelli_1"
2009|126|"vt8_Pori_Ahlainen_1"
2010|127|"vt3_Parkano_Lamminkoski_R"
2011|128|"vt9_Loimaa_Mellilä_1"
2012|129|"vt10_Koski_Tl_1"
2013|130|"vt11_Ulvila_Sääkskoski_R"
2014|131|"vt23_Kankaanpää_Hapua_1"
2015|132|"kt40_Lieto_Auranlaakso_1"
2016|133|"kt41_Huittinen_Jokisivu_R"
2017|134|"vt12_Sastamala_Kärppälä_R"
2018|135|"kt52_Salo_Perniö_R"
2019|136|"st180_Parainen_R"
2020|137|"vt2_Pori_Kähkönen_1"
2021|138|"OLD_yt12263_Masku_Vanha_R"
2022|139|"st192_Vehmaa_Vehmassalmi_R"
2023|140|"st183_Kemiönsaari_Taalintehdas_R"
2024|141|"OLD_vt1_Hepojoki"
2025|142|"kt43_Uusikaupunki_Kalanti_R"
2026|143|"vt8_Merikarvia_Kuvaskangas_1"
2027|144|"vt9_Aura_Järvenoja_1"
2028|145|"vt10_Lieto_Yliskulma_1"
2029|146|"vt12_Eura_R"
2030|147|"kt40_Turku_Kärsämäki_1"
2031|148|"vt9_Turku_Kärsämäki_2"
2032|149|"st110_Salo_Korvenpää_R"
2033|150|"st110_Paimio_Kevola_R"
2034|151|"st180_Parainen_Nauvo_R"
2035|152|"vt1_Turku_Kupittaa_R"
2036|153|"vt1_Turku_Kupittaa_O"
2037|154|"vt1_Kaarina_Hiiskanmäki_1"
2038|155|"vt1_Kaarina_Hiiskanmäki_2"
2039|156|"vt1_Kaarina_Piikkiö_S_1"
2040|157|"vt1_Kaarina_Piikkiö_S_2"
2041|158|"vt1_Paimio_Valkoja_1"
2042|159|"vt1_Paimio_Valkoja_2"
2043|160|"vt1_Paimio_Pitkäporras_1"
2044|161|"vt1_Paimio_Pitkäporras_2"
2045|162|"vt1_Salo_Hajala_1"
2046|163|"vt1_Salo_Hajala_2"
2047|164|"vt1_Salo_Halikko_1"
2048|165|"vt1_Salo_Halikko_2"
2049|166|"vt1_Salo_Haukkala_1"
2050|167|"vt1_Salo_Haukkala_2"
2051|168|"OLD_Åland_Mockelo"
2052|169|"Åland_Eckerö_K"
2053|170|"OLD_Åland_Finnby"
2054|171|"Åland_Åva_K"
2055|172|"OLD_vt1_Isokylän_Tun_R"
2056|173|"OLD_vt1_Isokylän_Tun_O1"
