"ID"|"AIKA"|"ASEMA_ID"
420958436|01.03.2018 02:09:00,000000000|1
420958440|01.03.2018 02:09:00,000000000|60
420958442|01.03.2018 02:09:00,000000000|83
420958443|01.03.2018 02:09:00,000000000|198
420958444|01.03.2018 02:10:00,000000000|276
420958445|01.03.2018 02:10:00,000000000|45
420958446|01.03.2018 02:10:00,000000000|151
420958447|01.03.2018 02:10:00,000000000|660
420958449|01.03.2018 02:10:00,000000000|273
